gene,name
AHCY,V_427
AHCYL1,V_428
AHCYL2,V_429
AHDC1,V_430
AHI1,V_431
AHNAK,V_432
AHNAK2,V_433
AHR,V_434
AHRR,V_435
AHSA1,V_436
AHSG,V_437
AHSP,V_438
AICDA,V_439
AIDA,V_440
AIF1,V_441
AIFM1,V_442
AIFM2,V_443
AIFM3,V_444
AIM1,V_445
AIM1L,V_446
AIM2,V_447
AIMP2,V_448
AIPL1,V_449
AIRE,V_450
AJ003147.9,V_451
AJAP1,V_452
AJUBA,V_453
AK5,V_454
AK7,V_455
AK8,V_456
AK9,V_457
AKAP1,V_458
AKAP10,V_459
AKAP11,V_460
AKAP12,V_461
AKAP13,V_462
AKAP14,V_463
AKAP17A,V_464
AKAP3,V_465
AKAP4,V_466
AKAP5,V_467
AKAP6,V_468
AKAP7,V_469
AKAP8,V_470
AKAP8L,V_471
AKAP9,V_472
AKIP1,V_473
AKNA,V_474
AKNAD1,V_475
AKR1A1,V_476
AKR1B1,V_477
AKR1B10,V_478
AKR1B15,V_479
AKR1C1,V_480
AKR1C4,V_481
AKR1C8P,V_482
AKR1D1,V_483
AKR1E2,V_484
AKR7A2,V_485
AKT1,V_486
AKT2,V_487
AKT3,V_488
AKTIP,V_489
AL078471.5,V_490
AL161651.1,V_491
AL391261.1,V_492
AL589843.1,V_493
AL591893.1,V_494
ALAS1,V_495
ALAS2,V_496
ALB,V_497
ALCAM,V_498
ALDH16A1,V_499
ALDH18A1,V_500
ALDH1A1,V_501
ALDH1A2,V_502
ALDH1A3,V_503
ALDH1B1,V_504
ALDH1L1,V_505
ALDH1L2,V_506
ALDH2,V_507
ALDH3A1,V_508
ALDH3B1,V_509
ALDH3B2,V_510
ALDH4A1,V_511
ALDH5A1,V_512
ALDH6A1,V_513
ALDH7A1,V_514
ALDH8A1,V_515
ALDH9A1,V_516
ALDOA,V_517
ALDOB,V_518
ALG1,V_519
ALG10,V_520
ALG10B,V_521
ALG11,V_522
ALG12,V_523
ALG13,V_524
ALG2,V_525
ALG3,V_526
ALG5,V_527
ALG6,V_528
ALG8,V_529
ALK,V_530
ALKBH1,V_531
ALKBH2,V_532
ALKBH3,V_533
ALKBH5,V_534
ALKBH6,V_535
ALLC,V_536
ALMS1,V_537
ALOX12,V_538
ALOX12B,V_539
ALOX15B,V_540
ALOX5,V_541
ALOX5AP,V_542
ALOXE3,V_543
ALPI,V_544
ALPK1,V_545
ALPK2,V_546
ALPK3,V_547
ALPL,V_548
ALPP,V_549
ALPPL2,V_550
ALS2,V_551
ALS2CL,V_552
ALS2CR11,V_553
ALS2CR12,V_554
ALX1,V_555
ALX3,V_556
ALX4,V_557
AMACR,V_558
AMBN,V_559
AMBP,V_560
AMBRA1,V_561
AMD1,V_562
AMDHD1,V_563
AMDHD2,V_564
AMELX,V_565
AMER1,V_566
AMER2,V_567
AMER3,V_568
AMFR,V_569
AMHR2,V_570
AMICA1,V_571
AMIGO1,V_572
AMIGO2,V_573
AMMECR1,V_574
AMMECR1L,V_575
AMOT,V_576
AMOTL1,V_577
AMOTL2,V_578
AMPD1,V_579
AMPD2,V_580
AMPD3,V_581
AMPH,V_582
AMT,V_583
AMY1C,V_584
AMY2A,V_585
AMY2B,V_586
AMZ1,V_587
AMZ2P1,V_588
ANAPC1,V_589
ANAPC1P1,V_590
ANAPC2,V_591
ANAPC4,V_592
ANAPC5,V_593
ANAPC7,V_594
ANGEL1,V_595
ANGEL2,V_596
ANGPT1,V_597
ANGPT2,V_598
ANGPT4,V_599
ANGPTL1,V_600
ANGPTL2,V_601
ANGPTL3,V_602
ANGPTL4,V_603
ANGPTL5,V_604
ANGPTL7,V_605
ANK1,V_606
ANK2,V_607
ANK3,V_608
ANKAR,V_609
ANKDD1A,V_610
ANKEF1,V_611
ANKFN1,V_612
ANKFY1,V_613
ANKH,V_614
ANKHD1-EIF4EBP3,V_615
ANKIB1,V_616
ANKK1,V_617
ANKLE2,V_618
ANKMY1,V_619
ANKMY2,V_620
ANKRA2,V_621
ANKRD1,V_622
ANKRD10,V_623
ANKRD11,V_624
ANKRD12,V_625
ANKRD13A,V_626
ANKRD13B,V_627
ANKRD13C,V_628
ANKRD13D,V_629
ANKRD17,V_630
ANKRD18A,V_631
ANKRD19P,V_632
ANKRD2,V_633
ANKRD20A1,V_634
ANKRD20A11P,V_635
ANKRD20A4,V_636
ANKRD20A5P,V_637
ANKRD20A8P,V_638
ANKRD20A9P,V_639
ANKRD24,V_640
ANKRD26,V_641
ANKRD27,V_642
ANKRD28,V_643
ANKRD29,V_644
ANKRD30A,V_645
ANKRD30B,V_646
ANKRD32,V_647
ANKRD33,V_648
ANKRD34A,V_649
ANKRD34B,V_650
ANKRD35,V_651
ANKRD36,V_652
ANKRD36B,V_653
ANKRD36BP2,V_654
ANKRD36C,V_655
ANKRD40,V_656
ANKRD42,V_657
ANKRD44,V_658
ANKRD45,V_659
ANKRD50,V_660
ANKRD52,V_661
ANKRD55,V_662
ANKRD6,V_663
ANKRD7,V_664
ANKS1A,V_665
ANKS1B,V_666
ANKS3,V_667
ANKS4B,V_668
ANKS6,V_669
ANKZF1,V_670
ANLN,V_671
ANO1,V_672
ANO10,V_673
ANO2,V_674
ANO3,V_675
ANO4,V_676
ANO5,V_677
ANO6,V_678
ANO7,V_679
ANO8,V_680
ANO9,V_681
ANP32A,V_682
ANP32AP1,V_683
ANP32D,V_684
ANP32E,V_685
ANPEP,V_686
ANTXR1,V_687
ANTXR2,V_688
ANXA10,V_689
ANXA11,V_690
ANXA13,V_691
ANXA2,V_692
ANXA2P3,V_693
ANXA3,V_694
ANXA4,V_695
ANXA5,V_696
ANXA6,V_697
ANXA7,V_698
ANXA8,V_699
ANXA8L1,V_700
ANXA9,V_701
AOAH,V_702
AOC1,V_703
AOC2,V_704
AOC3,V_705
AOC4P,V_706
AOX1,V_707
AP1B1,V_708
AP1G1,V_709
AP1G2,V_710
AP1M1,V_711
AP1M2,V_712
AP2A1,V_713
AP2A2,V_714
AP2B1,V_715
AP2M1,V_716
AP3B1,V_717
AP3B2,V_718
